"SKU","eBay · IT · Included","Colore · eBay · IT","Taglia · eBay · IT"
"sku","included@EBAY:IT:cmr4aaqb00025nz016k18rup9:","axis:Colore@EBAY:IT:cmr4aaqb00025nz016k18rup9:","axis:Taglia@EBAY:IT:cmr4aaqb00025nz016k18rup9:"
"GALE-JACKET-BLACK-MEN-3XL","true","Nero","3XL"
"GALE-JACKET-BLACK-MEN-4XL","true","Nero","4XL"
"GALE-JACKET-BLACK-MEN-5XL","true","Nero","5XL"
"GALE-JACKET-BLACK-MEN-L","true","Nero","L"
"GALE-JACKET-BLACK-MEN-M","true","Nero","M"
"GALE-JACKET-BLACK-MEN-S","true","Nero","S"
"GALE-JACKET-BLACK-MEN-XL","true","Nero","XL"
"GALE-JACKET-BLACK-MEN-XS","true","Nero","XS"
"GALE-JACKET-BLACK-MEN-XXL","true","Nero","XXL"
"GALE-JACKET-BLACK-MEN-XXS","true","Nero","XXS"
"GALE-JACKET-YELLOW-MEN-3XL","true","Giallo","3XL"
"GALE-JACKET-YELLOW-MEN-4XL","true","Giallo","4XL"
"GALE-JACKET-YELLOW-MEN-5XL","true","Giallo","5XL"
"GALE-JACKET-YELLOW-MEN-L","true","Giallo","L"
"GALE-JACKET-YELLOW-MEN-M","true","Giallo","M"
"GALE-JACKET-YELLOW-MEN-S","true","Giallo","S"
"GALE-JACKET-YELLOW-MEN-XL","true","Giallo","XL"
"GALE-JACKET-YELLOW-MEN-XS","true","Giallo","XS"
"GALE-JACKET-YELLOW-MEN-XXL","true","Giallo","XXL"
"GALE-JACKET-YELLOW-MEN-XXS","true","Giallo","XXS"
