"SKU","Colore","Taglia","Amazon · IT · Included","eBay · IT · Included","Shopify · GLOBAL · Included","Etsy · GLOBAL · Included"
"sku","axis:Colore","axis:Taglia","included@AMAZON:IT:cmothu9bo0000nz01asw6wx8j:","included@EBAY:IT:cmr4aaqb00025nz016k18rup9:","included@SHOPIFY:GLOBAL:cmtugfpaa0006njhq8m2nvnxx:","included@ETSY:GLOBAL:cmtvy3wta00fjnjpxl22lly3k:"
"GALE-JACKET-BLACK-MEN-3XL","Nero","3XL","true","true","false","false"
"GALE-JACKET-BLACK-MEN-4XL","Nero","4XL","true","true","false","false"
"GALE-JACKET-BLACK-MEN-5XL","Nero","5XL","true","true","false","false"
"GALE-JACKET-BLACK-MEN-L","Nero","L","true","true","false","false"
"GALE-JACKET-BLACK-MEN-M","Nero","M","true","true","false","false"
"GALE-JACKET-BLACK-MEN-S","Nero","S","true","true","false","false"
"GALE-JACKET-BLACK-MEN-XL","Nero","XL","true","true","false","false"
"GALE-JACKET-BLACK-MEN-XS","Nero","XS","true","true","false","false"
"GALE-JACKET-BLACK-MEN-XXL","Nero","XXL","true","true","false","false"
"GALE-JACKET-BLACK-MEN-XXS","Nero","XS","true","true","false","false"
"GALE-JACKET-YELLOW-MEN-3XL","Giallo","3XL","true","true","false","false"
"GALE-JACKET-YELLOW-MEN-4XL","Giallo","4XL","true","true","false","false"
"GALE-JACKET-YELLOW-MEN-5XL","Giallo","5XL","true","true","false","false"
"GALE-JACKET-YELLOW-MEN-L","Giallo","L","true","true","false","false"
"GALE-JACKET-YELLOW-MEN-M","Giallo","M","true","true","false","false"
"GALE-JACKET-YELLOW-MEN-S","Giallo","S","true","true","false","false"
"GALE-JACKET-YELLOW-MEN-XL","Giallo","XL","true","true","false","false"
"GALE-JACKET-YELLOW-MEN-XS","Giallo","XS","true","true","false","false"
"GALE-JACKET-YELLOW-MEN-XXL","Giallo","XXL","true","true","false","false"
"GALE-JACKET-YELLOW-MEN-XXS","Giallo","XS","true","true","false","false"
