family	sku	fields_to_fill
1J-EYE5-Y0TW	xriser-bla-l	image,brand,asin,bullets(+5)
1J-EYE5-Y0TW	xriser-bla-m	image,brand,asin,bullets(+5)
1J-EYE5-Y0TW	xriser-bla-s	image,brand,asin,bullets(+5)
1J-EYE5-Y0TW	xriser-bla-xl	image,brand,asin,bullets(+5)
1J-EYE5-Y0TW	xriser-bla-xxl	image,brand,asin,bullets(+5)
UD-LVLM-1H8T	xevo-black-l	bullets(+5)
UD-LVLM-1H8T	xevo-black-m	bullets(+5)
UD-LVLM-1H8T	xevo-black-s	bullets(+5)
UD-LVLM-1H8T	xevo-black-xl	bullets(+5)
UD-LVLM-1H8T	xevo-black-xxl	bullets(+5)
UD-LVLM-1H8T	xevo-mar-l	bullets(+5)
UD-LVLM-1H8T	xevo-mar-m	bullets(+5)
UD-LVLM-1H8T	xevo-mar-s	bullets(+5)
UD-LVLM-1H8T	xevo-mar-xl	bullets(+5)
UD-LVLM-1H8T	xevo-mar-xxl	bullets(+5)
xavia-knee-slider	xavia-knee-slider-black	bullets(+5)
xavia-knee-slider	xavia-knee-slider-blue	bullets(+5)
xavia-knee-slider	xavia-knee-slider-green	bullets(+5)
xavia-knee-slider	xavia-knee-slider-orange	bullets(+5)
xavia-knee-slider	xavia-knee-slider-pink	bullets(+5)
xavia-knee-slider	xavia-knee-slider-red	bullets(+5)
xavia-knee-slider	xavia-knee-slider-white	bullets(+5)
xavia-knee-slider	xavia-knee-slider-yellow	bullets(+5)
xracing	xracingb46	bullets(+5)
xracing	xracingb48	bullets(+5)
xracing	xracingb50	bullets(+5)
xracing	xracingb52	bullets(+5)
xracing	xracingb54	bullets(+5)
xracing	xracingb56	bullets(+5)
xracing	xracingb58	bullets(+5)
xracing	xracingbxg46	bullets(+5)
xracing	xracingbxg48	bullets(+5)
xracing	xracingbxg50	bullets(+5)
xracing	xracingbxg52	bullets(+5)
xracing	xracingbxg54	bullets(+5)
xracing	xracingbxg56	bullets(+5)
xracing	xracingbxg58	bullets(+5)
xracing	xracingbxgxn46	bullets(+5)
xracing	xracingbxgxn48	bullets(+5)
xracing	xracingbxgxn50	bullets(+5)
xracing	xracingbxgxn52	bullets(+5)
xracing	xracingbxgxn54	bullets(+5)
xracing	xracingbxgxn56	bullets(+5)
xracing	xracingbxgxn58	bullets(+5)
xracing	xracingbxn46	bullets(+5)
xracing	xracingbxn48	bullets(+5)
xracing	xracingbxn50	bullets(+5)
xracing	xracingbxn52	bullets(+5)
xracing	xracingbxn54	bullets(+5)
xracing	xracingbxn56	bullets(+5)
xracing	xracingbxn58	bullets(+5)
xracing	xracingbxr46	bullets(+5)
xracing	xracingbxr48	bullets(+5)
xracing	xracingbxr50	bullets(+5)
xracing	xracingbxr52	bullets(+5)
xracing	xracingbxr54	bullets(+5)
xracing	xracingbxr56	bullets(+5)
xracing	xracingbxr58	bullets(+5)
xracing	xracingbxrxv46	bullets(+5)
xracing	xracingbxrxv48	bullets(+5)
xracing	xracingbxrxv50	bullets(+5)
xracing	xracingbxrxv52	bullets(+5)
xracing	xracingbxrxv54	bullets(+5)
xracing	xracingbxrxv56	bullets(+5)
xracing	xracingbxrxv58	bullets(+5)
xracing	xracingbxy46	bullets(+5)
xracing	xracingbxy48	bullets(+5)
xracing	xracingbxy50	bullets(+5)
xracing	xracingbxy52	bullets(+5)
xracing	xracingbxy54	bullets(+5)
xracing	xracingbxy56	bullets(+5)
xracing	xracingbxy58	bullets(+5)
